Ranking Week,Rank,Name,Country,Points,Tournaments,Member ID
2/28/2023,1,Viktor AXELSEN,DEN,114156,15,25831
2/28/2023,2,Jonatan CHRISTIE,INA,80612,19,73442
2/28/2023,3,Anthony Sinisuka GINTING,INA,77579,19,95661
2/28/2023,4,LEE Zii Jia,MAS,75868,16,81561
2/28/2023,5,CHOU Tien Chen,TPE,73716,18,34810
2/28/2023,6,Kodai NARAOKA,JPN,72672,18,62063
2/28/2023,7,Kunlavut VITIDSARN,THA,72229,13,64032
2/28/2023,8,LOH Kean Yew,SGP,68874,18,76115
2/28/2023,9,PRANNOY H. S.,IND,65497,19,83950
2/28/2023,10,LU Guang Zu,CHN,58230,19,77427
2/28/2023,11,ZHAO Jun Peng,CHN,54968,17,95930
2/28/2023,12,Lakshya SEN,IND,54714,15,68870
2/28/2023,13,SHI Yu Qi,CHN,53870,10,57945
2/28/2023,14,Kenta NISHIMOTO,JPN,52869,17,85394
2/28/2023,15,NG Ka Long Angus,HKG,52702,16,45171
2/28/2023,16,Kanta TSUNEYAMA,JPN,52698,12,57823
2/28/2023,17,Chico Aura DWI WARDOYO,INA,52124,16,71408
2/28/2023,18,Anders ANTONSEN,DEN,52003,12,91554
2/28/2023,19,KIDAMBI Srikanth,IND,50651,17,93627
2/28/2023,20,LI Shi Feng,CHN,49693,17,95476
2/28/2023,21,Rasmus GEMKE,DEN,48871,10,62855
2/28/2023,22,LEE Cheuk Yiu,HKG,48644,18,94780
2/28/2023,23,Kento MOMOTA,JPN,48444,12,89785
2/28/2023,24,WANG Tzu Wei,TPE,46946,14,87375
2/28/2023,25,Toma Junior POPOV,FRA,43913,17,61628
2/28/2023,26,Shesar Hiren RHUSTAVITO,INA,43583,16,81887
2/28/2023,27,WENG Hong Yang,CHN,43113,14,77042
2/28/2023,28,NG Tze Yong,MAS,42114,17,81362
2/28/2023,29,Brian YANG,CAN,42030,19,63122
2/28/2023,30,Kantaphon WANGCHAROEN,THA,40642,18,92508
2/28/2023,31,LIEW Daren,MAS,39239,15,52864
2/28/2023,32,LIN Chun-Yi,TPE,38900,14,86114
2/28/2023,33,Sitthikom THAMMASIN,THA,37986,18,58963
2/28/2023,34,Nhat NGUYEN,IRL,37199,18,85095
2/28/2023,35,Hans-Kristian Solberg VITTINGHUS,DEN,36392,15,53753
2/28/2023,36,Misha ZILBERMAN,ISR,33704,14,52953
2/28/2023,37,HEO Kwang Hee,KOR,32825,14,68718
2/28/2023,38,Mark CALJOUW,NED,32235,17,76973
2/28/2023,39,Koki WATANABE,JPN,30857,13,97174
2/28/2023,40,Brice LEVERDEZ,FRA,29820,12,52968
2/28/2023,41,Christo POPOV,FRA,28950,13,72885
2/28/2023,42,CHEAM June Wei,MAS,28100,17,92796
2/28/2023,43,SAI PRANEETH B.,IND,27840,14,42776
2/28/2023,44,Victor SVENDSEN,DEN,27590,16,59420
2/28/2023,45,Arnaud MERKLE,FRA,27243,12,59543
2/28/2023,46,Kevin CORDON,GUA,26762,9,54897
2/28/2023,47,Sameer VERMA,IND,26410,9,77003
2/28/2023,48,Mithun MANJUNATH,IND,25960,10,62720
2/28/2023,49,Chia Hao LEE,TPE,25860,18,59322
2/28/2023,50,Ygor COELHO,BRA,25480,15,96429
2/28/2023,51,Mads CHRISTOPHERSEN,DEN,25150,14,83938
2/28/2023,52,Luís Enrique PEÑALVER,ESP,24933,12,71221
2/28/2023,53,Kiran GEORGE,IND,24530,13,68317
2/28/2023,54,SOONG Joo Ven,MAS,23810,12,87117
2/28/2023,55,JEON Hyeok Jin,KOR,23749,9,65580
2/28/2023,56,Jan LOUDA,CZE,23540,13,61423
2/28/2023,57,PARUPALLI Kashyap,IND,23430,8,53944
2/28/2023,58,Priyanshu RAJAWAT,IND,23206,11,69093
2/28/2023,59,Magnus JOHANNESEN,DEN,22900,17,97030
2/28/2023,60,Kai SCHAEFER,GER,22832,17,20808
2/28/2023,61,Christian ADINATA,INA,22730,10,69006
2/28/2023,62,Jason Anthony HO-SHUE,CAN,22267,9,93791
2/28/2023,63,Riku HATANO,JPN,22054,13,62018
2/28/2023,64,CHI Yu Jen,TPE,21581,18,77848
2/28/2023,65,Meiraba Luwang MAISNAM,IND,21500,13,91651
2/28/2023,66,Jia Heng Jason TEH,SGP,21259,17,82606
2/28/2023,67,LEONG Jun Hao,MAS,21238,13,84838
2/28/2023,68,Alex LANIER,FRA,21145,12,94580
2/28/2023,69,Jonathan MATIAS,BRA,20971,11,86470
2/28/2023,70,Uriel Francisco CANJURA ARTIGA,ESA,20950,10,74579
2/28/2023,71,Tommy SUGIARTO,INA,20660,10,14587
2/28/2023,72,Kalle KOLJONEN,FIN,20591,12,92655
2/28/2023,73,Minoru KOGA,JPN,20560,10,80062
2/28/2023,74,Felix BURESTEDT,SWE,20465,14,83985
2/28/2023,75,Yushi TANAKA,JPN,20230,10,86672
2/28/2023,76,LU Chia Hung,TPE,20209,17,91254
2/28/2023,77,SU Li Yang,TPE,19320,17,94397
2/28/2023,78,Max WEISSKIRCHEN,GER,18480,10,84815
2/28/2023,79,SON Wan Ho,KOR,18340,5,54346
2/28/2023,80,Lucas CLAERBOUT,FRA,18290,12,89506
2/28/2023,81,Ade Resky DWICAHYO,AZE,18220,16,78890
2/28/2023,82,Joran KWEEKEL,NED,17973,13,62286
2/28/2023,83,Ikhsan Leonardo Imanuel RUMBAY,INA,17910,10,90657
2/28/2023,84,Justin HOH,MAS,17470,7,68392
2/28/2023,85,Sholeh AIDIL,MAS,17387,12,79110
2/28/2023,86,Julien CARRAGGI,BEL,17158,17,70399
2/28/2023,87,Thomas ROUXEL,FRA,17110,7,38500
2/28/2023,88,Syabda Perkasa BELAWA,INA,16680,10,89156
2/28/2023,89,CHAN Yin Chak,HKG,16570,11,57924
2/28/2023,90,Bernardo ATILANO,POR,16538,11,83597
2/28/2023,91,Pablo ABIAN,ESP,16250,12,14251
2/28/2023,92,YEOH Seng Zoe,MAS,16230,13,95952
2/28/2023,93,CHEN Chi Ting,TPE,16150,13,76994
2/28/2023,94,LEI Lan Xi,CHN,15967,6,91673
2/28/2023,95,Sathish Kumar KARUNAKARAN,IND,15490,13,79164
2/28/2023,96,Kartikey GULSHAN KUMAR,IND,15110,11,64794
2/28/2023,97,Fabian ROTH,GER,15085,17,57297
2/28/2023,98,Tobias KUENZI,SUI,14877,13,60427
2/28/2023,99,DANYLO BOSNIUK,UKR,14838,15,58328
2/21/2023,1,Viktor AXELSEN,DEN,114156,15,25831
2/21/2023,2,Jonatan CHRISTIE,INA,80612,19,73442
2/21/2023,3,Anthony Sinisuka GINTING,INA,77579,19,95661
2/21/2023,4,LEE Zii Jia,MAS,75868,16,81561
2/21/2023,5,CHOU Tien Chen,TPE,73716,18,34810
2/21/2023,6,Kodai NARAOKA,JPN,72672,18,62063
2/21/2023,7,Kunlavut VITIDSARN,THA,72229,13,64032
2/21/2023,8,LOH Kean Yew,SGP,68874,18,76115
2/21/2023,9,PRANNOY H. S.,IND,65497,19,83950
2/21/2023,10,LU Guang Zu,CHN,58230,19,77427
2/21/2023,11,ZHAO Jun Peng,CHN,54968,17,95930
2/21/2023,12,Lakshya SEN,IND,54714,15,68870
2/21/2023,13,SHI Yu Qi,CHN,53870,10,57945
2/21/2023,14,Kenta NISHIMOTO,JPN,52869,17,85394
2/21/2023,15,NG Ka Long Angus,HKG,52702,16,45171
2/21/2023,16,Kanta TSUNEYAMA,JPN,52698,12,57823
2/21/2023,17,Chico Aura DWI WARDOYO,INA,52124,16,71408
2/21/2023,18,Anders ANTONSEN,DEN,52003,12,91554
2/21/2023,19,KIDAMBI Srikanth,IND,50651,17,93627
2/21/2023,20,LI Shi Feng,CHN,49693,17,95476
2/21/2023,21,Rasmus GEMKE,DEN,48871,10,62855
2/21/2023,22,LEE Cheuk Yiu,HKG,48644,18,94780
2/21/2023,23,Kento MOMOTA,JPN,48444,12,89785
2/21/2023,24,WANG Tzu Wei,TPE,46946,14,87375
2/21/2023,25,Toma Junior POPOV,FRA,43913,17,61628
2/21/2023,26,Shesar Hiren RHUSTAVITO,INA,43583,16,81887
2/21/2023,27,WENG Hong Yang,CHN,43113,14,77042
2/21/2023,28,NG Tze Yong,MAS,42114,17,81362
2/21/2023,29,Brian YANG,CAN,42030,19,63122
2/21/2023,30,Kantaphon WANGCHAROEN,THA,40642,18,92508
2/21/2023,31,LIEW Daren,MAS,39239,15,52864
2/21/2023,32,LIN Chun-Yi,TPE,38900,14,86114
2/21/2023,33,Sitthikom THAMMASIN,THA,37986,18,58963
2/21/2023,34,Nhat NGUYEN,IRL,37199,18,85095
2/21/2023,35,Hans-Kristian Solberg VITTINGHUS,DEN,36392,15,53753
2/21/2023,36,Misha ZILBERMAN,ISR,33704,14,52953
2/21/2023,37,HEO Kwang Hee,KOR,32825,14,68718
2/21/2023,38,Mark CALJOUW,NED,32235,17,76973
2/21/2023,39,Koki WATANABE,JPN,30857,13,97174
2/21/2023,40,Arnaud MERKLE,FRA,30323,13,59543
2/21/2023,41,Brice LEVERDEZ,FRA,29820,12,52968
2/21/2023,42,Christo POPOV,FRA,28950,13,72885
2/21/2023,43,CHEAM June Wei,MAS,28100,17,92796
2/21/2023,44,SAI PRANEETH B.,IND,27840,14,42776
2/21/2023,45,Victor SVENDSEN,DEN,27590,16,59420
2/21/2023,46,Kevin CORDON,GUA,26762,9,54897
2/21/2023,47,Sameer VERMA,IND,26410,9,77003
2/21/2023,48,Mithun MANJUNATH,IND,25960,10,62720
2/21/2023,49,Chia Hao LEE,TPE,25860,18,59322
2/21/2023,50,Ygor COELHO,BRA,25480,15,96429
2/21/2023,51,Mads CHRISTOPHERSEN,DEN,25150,14,83938
2/21/2023,52,Luís Enrique PEÑALVER,ESP,24933,12,71221
2/21/2023,53,Kiran GEORGE,IND,24530,13,68317
2/21/2023,54,SOONG Joo Ven,MAS,23810,12,87117
2/21/2023,55,JEON Hyeok Jin,KOR,23749,9,65580
2/21/2023,56,Jan LOUDA,CZE,23540,13,61423
2/21/2023,57,PARUPALLI Kashyap,IND,23430,8,53944
2/21/2023,58,Priyanshu RAJAWAT,IND,23206,11,69093
2/21/2023,59,Magnus JOHANNESEN,DEN,22900,17,97030
2/21/2023,60,Christian ADINATA,INA,22730,10,69006
2/21/2023,61,Jason Anthony HO-SHUE,CAN,22267,9,93791
2/21/2023,62,Riku HATANO,JPN,22054,13,62018
2/21/2023,63,CHI Yu Jen,TPE,21581,18,77848
2/21/2023,64,Kai SCHAEFER,GER,21552,16,20808
2/21/2023,65,Meiraba Luwang MAISNAM,IND,21500,14,91651
2/21/2023,66,Jia Heng Jason TEH,SGP,21259,17,82606
2/21/2023,67,LEONG Jun Hao,MAS,21238,13,84838
2/21/2023,68,Alex LANIER,FRA,21145,12,94580
2/21/2023,69,Jonathan MATIAS,BRA,20971,11,86470
2/21/2023,70,Uriel Francisco CANJURA ARTIGA,ESA,20950,10,74579
2/21/2023,71,Tommy SUGIARTO,INA,20660,10,14587
2/21/2023,72,Kalle KOLJONEN,FIN,20591,12,92655
2/21/2023,73,Minoru KOGA,JPN,20560,10,80062
2/21/2023,74,Felix BURESTEDT,SWE,20465,14,83985
2/21/2023,75,Yushi TANAKA,JPN,20230,10,86672
2/21/2023,76,LU Chia Hung,TPE,20209,17,91254
2/21/2023,77,SU Li Yang,TPE,19320,17,94397
2/21/2023,78,Max WEISSKIRCHEN,GER,18480,10,84815
2/21/2023,79,SON Wan Ho,KOR,18340,5,54346
2/21/2023,80,Lucas CLAERBOUT,FRA,18290,12,89506
2/21/2023,81,Ade Resky DWICAHYO,AZE,18000,15,78890
2/21/2023,82,Joran KWEEKEL,NED,17973,13,62286
2/21/2023,83,Ikhsan Leonardo Imanuel RUMBAY,INA,17910,10,90657
2/21/2023,84,Sholeh AIDIL,MAS,17387,12,79110
2/21/2023,85,Julien CARRAGGI,BEL,17158,17,70399
2/21/2023,86,Thomas ROUXEL,FRA,17110,7,38500
2/21/2023,87,Syabda Perkasa BELAWA,INA,16680,10,89156
2/21/2023,88,CHAN Yin Chak,HKG,16570,11,57924
2/21/2023,89,Bernardo ATILANO,POR,16538,11,83597
2/21/2023,90,Pablo ABIAN,ESP,16250,12,14251
2/21/2023,91,YEOH Seng Zoe,MAS,16230,13,95952
2/21/2023,92,CHEN Chi Ting,TPE,16150,13,76994
2/21/2023,93,DANYLO BOSNIUK,UKR,16118,15,58328
2/21/2023,94,LEI Lan Xi,CHN,15967,6,91673
2/21/2023,95,Sathish Kumar KARUNAKARAN,IND,15490,13,79164
2/21/2023,96,Kartikey GULSHAN KUMAR,IND,15110,11,64794
2/21/2023,97,Fabian ROTH,GER,15085,16,57297
2/21/2023,98,Harshit AGGARWAL,IND,14980,12,58670
2/21/2023,99,S.Sankar Muthusamy SUBRAMANIAN,IND,14970,17,91814
2/14/2023,1,Viktor AXELSEN,DEN,114156,14,25831
2/14/2023,2,Jonatan CHRISTIE,INA,80612,19,73442
2/14/2023,3,Anthony Sinisuka GINTING,INA,77579,18,95661
2/14/2023,4,LEE Zii Jia,MAS,75868,16,81561
2/14/2023,5,CHOU Tien Chen,TPE,73716,17,34810
2/14/2023,6,Kunlavut VITIDSARN,THA,72229,13,64032
2/14/2023,7,Kodai NARAOKA,JPN,70520,17,62063
2/14/2023,8,LOH Kean Yew,SGP,68874,18,76115
2/14/2023,9,PRANNOY H. S.,IND,64280,18,83950
2/14/2023,10,LU Guang Zu,CHN,58230,19,77427
2/14/2023,11,Lakshya SEN,IND,54714,15,68870
2/14/2023,12,ZHAO Jun Peng,CHN,54221,16,95930
2/14/2023,13,SHI Yu Qi,CHN,53870,10,57945
2/14/2023,14,NG Ka Long Angus,HKG,53547,16,45171
2/14/2023,15,Kenta NISHIMOTO,JPN,52869,17,85394
2/14/2023,16,Kanta TSUNEYAMA,JPN,52698,12,57823
2/14/2023,17,Anders ANTONSEN,DEN,52003,11,91554
2/14/2023,18,Chico Aura DWI WARDOYO,INA,50898,16,71408
2/14/2023,19,KIDAMBI Srikanth,IND,50651,17,93627
2/14/2023,20,LI Shi Feng,CHN,49693,17,95476
2/14/2023,21,LEE Cheuk Yiu,HKG,49581,18,94780
2/14/2023,22,Rasmus GEMKE,DEN,48871,10,62855
2/14/2023,23,Kento MOMOTA,JPN,48444,12,89785
