Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Viktor Axelsen,Viktor Axelsen,Viktor Axelsen,Viktor Axelsen,Viktor Axelsen,Kunlavut Vitidsarn,
Kidambi Srikanth,21-1421-19,21-1616-2121-9,16-8 Retired,21-621-12,22-2010-2121-12,
Chico Aura Dwi Wardoyo,Shi Yu Qi,Rasmus Gemke,Jonatan Christie,Kunlavut Vitidsarn,,
Shi Yu Qi,20-2221-1621-15,16-2121-1521-18,21-1513-2122-20,27-2521-15,,
Lakshya Sen,Lakshya Sen,Jonatan Christie,Kunlavut Vitidsarn,,,
Prannoy H. S.,21-1421-15,21-1915-2121-12,21-1221-17,,,
Kento Momota,Rasmus Gemke,Chou Tien Chen,Anthony Sinisuka Ginting,,,
Rasmus Gemke,21-1521-11,18-2121-1721-10,21-1117-2121-18,,,
Jonatan Christie,Jonatan Christie,Kunlavut Vitidsarn,,,,
Brian Yang,21-1421-9,11-2121-1221-17,,,,
Zhao Jun Peng,Zhao Jun Peng,Loh Kean Yew,,,,
Weng Hong Yang,21-1921-12,21-1821-17,,,,
Chou Tien Chen,Chou Tien Chen,Anthony Sinisuka Ginting,,,,
Lee Cheuk Yiu,22-2014-2121-11,21-1821-10,,,,
Wang Tzu Wei,Wang Tzu Wei,Li Shi Feng,,,,
Nhat Nguyen,21-1821-17,21-1114-2121-18,,,,
Anders Antonsen,Anders Antonsen,,,,,
Toma Junior Popov,18-2121-1921-13,,,,,
Ng Ka Long Angus,Kunlavut Vitidsarn,,,,,
Kunlavut Vitidsarn,21-1321-13,,,,,
Hans-Kristian Solberg Vittinghus,Hans-Kristian Solberg Vittinghus,,,,,
Liew Daren,11-9 Retired,,,,,
Kodai Naraoka,Loh Kean Yew,,,,,
Loh Kean Yew,18-2121-921-7,,,,,
Kantaphon Wangcharoen,Kantaphon Wangcharoen,,,,,
Kenta Nishimoto,25-2311-2122-20,,,,,
Lu Guang Zu,Anthony Sinisuka Ginting,,,,,
Anthony Sinisuka Ginting,19-2121-1921-19,,,,,
Ng Tze Yong,Li Shi Feng,,,,,
Li Shi Feng,21-1921-14,,,,,
Shesar Hiren Rhustavito,Lee Zii Jia,,,,,
Lee Zii Jia,20-2221-1921-12,,,,,
