Round 1,Round 2,Quarter Finals,Semi Finals,Finals,Winner
Sitthikom Thammasin,Lu Guang Zu,Lu Guang Zu,Shi Yu Qi,Jonatan Christie,Jonatan Christie
Lu Guang Zu,"9-21, 21-17, 21-11","21-17, 17-21, 21-12","21-10, 21-17","21-13, 15-21, 21-19","21-15, 21-13"
Toma Junior Popov,Toma Junior Popov,Shi Yu Qi,Jonatan Christie,Chico Aura Dwi Wardoyo,
Wang Tzu Wei,"11-21, 21-17, 21-13","21-19, 21-16","15-21, 21-10, 21-13","17-21, 27-25, 22-20",
Anthony Sinisuka Ginting,Anthony Sinisuka Ginting,Jonatan Christie,Chico Aura Dwi Wardoyo,,
Lee Cheuk Yiu,"21-10, 21-12","21-16, 21-15","21-16, 21-16",,
Shi Yu Qi,Shi Yu Qi,Lakshya Sen,Ng Ka Long Angus,,
Kento Momota,"21-18, 21-7","19-21, 21-8, 21-17","21-19, 21-19",,
Jonatan Christie,Jonatan Christie,Brian Yang,,,
Nhat Nguyen,"21-23, 21-11, 21-6","21-13, 10-21, 21-18",,,
Kidambi Srikanth,Shesar Hiren Rhustavito,Chico Aura Dwi Wardoyo,,,
Shesar Hiren Rhustavito,"21-10, 24-22","21-18, 21-15",,,
Lakshya Sen,Lakshya Sen,Kanta Tsuneyama,,,
Kodai Naraoka,"21-12, 21-11","21-16, 21-10",,,
Hans-Kristian Solberg Vittinghus,Ng Tze Yong,Ng Ka Long Angus,,,
Ng Tze Yong,"21-7, 21-14","16-21, 22-20, 21-13",,,
Christian Adinata,Kenta Nishimoto,,,,
Kenta Nishimoto,"16-21, 21-10, 21-18",,,,
Brian Yang,Brian Yang,,,,
Chou Tien Chen,"21-9, 21-14",,,,
Chico Aura Dwi Wardoyo,Chico Aura Dwi Wardoyo,,,,
Priyanshu Rajawat,"18-21, 21-18, 21-18",,,,
Li Shi Feng,Loh Kean Yew,,,,
Loh Kean Yew,"21-14, 21-16",,,,
Anders Antonsen,Anders Antonsen,,,,
Weng Hong Yang,"21-15, 21-16",,,,
Kanta Tsuneyama,Kanta Tsuneyama,,,,
Prannoy H. S.,"21-19, 21-10",,,,
Cheam June Wei,Ng Ka Long Angus,,,,
Ng Ka Long Angus,"21-6, 21-15",,,,
Lin Chun-Yi,Lee Zii Jia,,,,
Lee Zii Jia,"21-18, 21-17",,,,
