Round 1,Round 2,Quarter Finals,Semi Finals,Finals,Winner
Viktor Axelsen,Viktor Axelsen,Viktor Axelsen,Viktor Axelsen,Viktor Axelsen,Viktor Axelsen
Rasmus Gemke,17-2121-1421-12,Walkover,21-621-12,21-721-15,21-621-15
Toma Junior Popov,Liew Daren,Kenta Nishimoto,Kanta Tsuneyama,Kodai Naraoka,
Liew Daren,21-1514-2121-17,21-1521-17,21-1421-16,21-1719-2121-17,
Jonatan Christie,Jonatan Christie,Kanta Tsuneyama,Kunlavut Vitidsarn,,
Wang Tzu Wei,21-1921-13,23-2121-19,21-1120-2221-14,,
Kenta Nishimoto,Kenta Nishimoto,Anthony Sinisuka Ginting,Kodai Naraoka,,
Kidambi Srikanth,21-1921-14,21-1417-2121-17,21-1619-2121-10,,
Chou Tien Chen,Chou Tien Chen,Kunlavut Vitidsarn,,,
Shi Yu Qi,21-2324-2221-18,21-1421-17,,,
Kanta Tsuneyama,Kanta Tsuneyama,Loh Kean Yew,,,
Lee Cheuk Yiu,3-2121-523-21,21-1521-8,,,
Anthony Sinisuka Ginting,Anthony Sinisuka Ginting,Prannoy H. S.,,,
Ng Ka Long Angus,17-2121-1821-12,21-915-2121-16,,,
Anders Antonsen,Anders Antonsen,Kodai Naraoka,,,
Weng Hong Yang,8-2122-2021-19,15-2121-1921-15,,,
Brian Yang,Kantaphon Wangcharoen,,,,
Kantaphon Wangcharoen,21-1617-2121-13,,,,
Shesar Hiren Rhustavito,Kunlavut Vitidsarn,,,,
Kunlavut Vitidsarn,21-2321-1924-22,,,,
Lu Guang Zu,Zhao Jun Peng,,,,
Zhao Jun Peng,21-1721-16,,,,
Li Shi Feng,Loh Kean Yew,,,,
Loh Kean Yew,21-1923-21,,,,
Hans-Kristian Solberg Vittinghus,Chico Aura Dwi Wardoyo,,,,
Chico Aura Dwi Wardoyo,21-1116-2125-23,,,,
Prannoy H. S.,Prannoy H. S.,,,,
Lakshya Sen,22-2421-1221-18,,,,
Ng Tze Yong,Ng Tze Yong,,,,
Nhat Nguyen,21-421-10,,,,
Kodai Naraoka,Kodai Naraoka,,,,
Lee Zii Jia,13-2121-1721-19,,,,
