Round 1,Round 2,Quarter Finals,Semi Finals,Finals,Winner
Tommy Sugiarto,Christian Adinata,Lin Chun-Yi,Lin Chun-Yi,Lin Chun-Yi,Lin Chun-Yi
Christian Adinata,"9-21, 22-20, 21-17","21-17, 21-13","21-12, 21-11","21-15, 21-19","21-17, 21-14"
Weng Hong Yang,Lin Chun-Yi,Kenta Nishimoto,Shi Yu Qi,Ng Ka Long Angus,
Lin Chun-Yi,"15-21, 21-18, 21-19","23-21, 14-21, 21-16","21-9, 21-11","19-21, 21-8, 21-19",
Kenta Nishimoto,Kenta Nishimoto,Lee Cheuk Yiu,Ng Ka Long Angus,,
Mithun Manjunath,"21-18, 21-12","20-22, 21-15, 22-20","21-14, 22-20",,
Sitthikom Thammasin,Anders Antonsen,Shi Yu Qi,Li Shi Feng,,
Anders Antonsen,"21-15, 21-19","21-18, 12-21, 21-12","21-17, 21-23, 21-18",,
Lee Cheuk Yiu,Lee Cheuk Yiu,Ng Tze Yong,,,
Riku Hatano,"21-19, 21-12","21-16, 21-8",,,
Chia Hao Lee,Kiran George,Ng Ka Long Angus,,,
Kiran George,"21-17, 19-21, 23-21","21-9, 12-21, 21-9",,,
Brian Yang,Koki Watanabe,Li Shi Feng,,,
Koki Watanabe,"21-19, 21-15","21-19, 21-18",,,
Mark Caljouw,Shi Yu Qi,Sai Praneeth B.,,,
Shi Yu Qi,"20-22, 21-8, 21-16","24-22, 7-21, 22-20",,,
Priyanshu Rajawat,Heo Kwang Hee,,,,
Heo Kwang Hee,"14-21, 21-19, 27-25",,,,
Ygor Coelho,Ng Tze Yong,,,,
Ng Tze Yong,"21-19, 21-10",,,,
Cheam June Wei,Cheam June Wei,,,,
Kantaphon Wangcharoen,"21-18, 21-17",,,,
Misha Zilberman,Ng Ka Long Angus,,,,
Ng Ka Long Angus,"21-13, 21-9",,,,
Soong Joo Ven,Chan Yin Chak,,,,
Chan Yin Chak,"21-16, 23-25, 22-20",,,,
Sameer Verma,Li Shi Feng,,,,
Li Shi Feng,"21-14, 21-16",,,,
Victor Svendsen,Jeon Hyeok Jin,,,,
Jeon Hyeok Jin,"21-16, 21-9",,,,
Sai Praneeth B.,Sai Praneeth B.,,,,
Mads Christophersen,"21-13, 21-14",,,,
