Round 1,Round 2,Quarter Finals,Semi Finals,Finals,Winner
Viktor Axelsen,Viktor Axelsen,Viktor Axelsen,Viktor Axelsen,Viktor Axelsen,Kunlavut Vitidsarn
Kidambi Srikanth,"21-14, 21-19","21-16, 16-21, 21-9",16-8 Retired,"21-6, 21-12","22-20, 10-21, 21-12"
Chico Aura Dwi Wardoyo,Shi Yu Qi,Rasmus Gemke,Jonatan Christie,Kunlavut Vitidsarn,
Shi Yu Qi,"20-22, 21-16, 21-15","16-21, 21-15, 21-18","21-15, 13-21, 22-20","27-25, 21-15",
Lakshya Sen,Lakshya Sen,Jonatan Christie,Kunlavut Vitidsarn,,
Prannoy H. S.,"21-14, 21-15","21-19, 15-21, 21-12","21-12, 21-17",,
Kento Momota,Rasmus Gemke,Chou Tien Chen,Anthony Sinisuka Ginting,,
Rasmus Gemke,"21-15, 21-11","18-21, 21-17, 21-10","21-11, 17-21, 21-18",,
Jonatan Christie,Jonatan Christie,Kunlavut Vitidsarn,,,
Brian Yang,"21-14, 21-9","11-21, 21-12, 21-17",,,
Zhao Jun Peng,Zhao Jun Peng,Loh Kean Yew,,,
Weng Hong Yang,"21-19, 21-12","21-18, 21-17",,,
Chou Tien Chen,Chou Tien Chen,Anthony Sinisuka Ginting,,,
Lee Cheuk Yiu,"22-20, 14-21, 21-11","21-18, 21-10",,,
Wang Tzu Wei,Wang Tzu Wei,Li Shi Feng,,,
Nhat Nguyen,"21-18, 21-17","21-11, 14-21, 21-18",,,
Anders Antonsen,Anders Antonsen,,,,
Toma Junior Popov,"18-21, 21-19, 21-13",,,,
Ng Ka Long Angus,Kunlavut Vitidsarn,,,,
Kunlavut Vitidsarn,"21-13, 21-13",,,,
Hans-Kristian Solberg Vittinghus,Hans-Kristian Solberg Vittinghus,,,,
Liew Daren,11-9 Retired,,,,
Kodai Naraoka,Loh Kean Yew,,,,
Loh Kean Yew,"18-21, 21-9, 21-7",,,,
Kantaphon Wangcharoen,Kantaphon Wangcharoen,,,,
Kenta Nishimoto,"25-23, 11-21, 22-20",,,,
Lu Guang Zu,Anthony Sinisuka Ginting,,,,
Anthony Sinisuka Ginting,"19-21, 21-19, 21-19",,,,
Ng Tze Yong,Li Shi Feng,,,,
Li Shi Feng,"21-19, 21-14",,,,
Shesar Hiren Rhustavito,Lee Zii Jia,,,,
Lee Zii Jia,"20-22, 21-19, 21-12",,,,
